EV=021215 F=10284 I=250232509 C=306259158 PC=C726 A=5E X=BD Y=AC DF=BE E0=29 E1=02 | C726 QUEUE | ID=5E X=BD Y=AC caller=56AB return=56AD DF=BE E0=29
EV=021216 F=10284 I=250232611 C=306259510 PC=C726 A=01 X=03 Y=AC DF=BE E0=29 E1=02 | C726 QUEUE | ID=01 X=03 Y=AC caller=3FAB return=3FAD DF=BE E0=29
EV=021217 F=10284 I=250232666 C=306259692 PC=C2DA A=04 X=08 Y=AC DF=BE E0=29 E1=02 | C2DA ENTER | A=04 selector=4 S=F9 dispatch=14
EV=021218 F=10284 I=250232702 C=306259808 PC=C300 A=44 X=FF Y=00 DF=BE E0=29 E1=02 | C300 INDIRECT DISPATCH | selector=4 tableptr=C944 target=CB0A dispatch=14
EV=021219 F=10284 I=250232723 C=306259876 PC=C317 A=09 X=00 Y=01 DF=BE E0=29 E1=02 | C317 DISPATCH RETURN | last_target=CB0A dispatch=14
EV=021220 F=10284 I=250233058 C=306260994 PC=C2DA A=01 X=00 Y=06 DF=BE E0=29 E1=02 | C2DA ENTER | A=01 selector=1 S=F7 dispatch=14
EV=021221 F=10284 I=250233094 C=306261110 PC=C300 A=39 X=FF Y=00 DF=BE E0=29 E1=02 | C300 INDIRECT DISPATCH | selector=1 tableptr=CC39 target=CC59 dispatch=14
EV=021222 F=10284 I=250233115 C=306261178 PC=C317 A=58 X=00 Y=01 DF=BE E0=29 E1=02 | C317 DISPATCH RETURN | last_target=CC59 dispatch=14
EV=021223 F=10284 I=250233502 C=306262401 PC=C2DA A=01 X=04 Y=06 DF=BE E0=29 E1=02 | C2DA ENTER | A=01 selector=1 S=F7 dispatch=14
EV=021224 F=10284 I=250233538 C=306262517 PC=C300 A=4A X=FF Y=00 DF=BE E0=29 E1=02 | C300 INDIRECT DISPATCH | selector=1 tableptr=D34A target=D35A dispatch=14
EV=021225 F=10284 I=250233559 C=306262585 PC=C317 A=59 X=00 Y=01 DF=BE E0=29 E1=02 | C317 DISPATCH RETURN | last_target=D35A dispatch=14
EV=021226 F=10285 I=250235753 C=306271028 PC=C535 A=00 X=80 Y=00 DF=BE E0=29 E1=02 | C535 RNG UPDATE BEFORE | DF=BE E0=29 E1=02
EV=021227 F=10285 I=250235757 C=306271040 PC=C53F A=6B X=02 Y=00 DF=6B E0=29 E1=02 | WRITE DF | BE -> 6B DF&1=1 DF&3=3 DF&7=3
EV=021228 F=10285 I=250235761 C=306271052 PC=C547 A=30 X=02 Y=00 DF=6B E0=30 E1=02 | WRITE E0 | 29 -> 30 E0SEL=3
EV=021229 F=10285 I=250235762 C=306271057 PC=C549 A=30 X=02 Y=00 DF=6B E0=30 E1=03 | WRITE E1 | 02 -> 03
EV=021230 F=10285 I=250236429 C=306273291 PC=C2DA A=00 X=20 Y=01 DF=6B E0=30 E1=03 | C2DA ENTER | A=00 selector=0 S=FB dispatch=14
EV=021231 F=10285 I=250236465 C=306273407 PC=C300 A=C9 X=FF Y=00 DF=6B E0=30 E1=03 | C300 INDIRECT DISPATCH | selector=0 tableptr=CCC9 target=CCD4 dispatch=14
EV=021232 F=10285 I=250236486 C=306273475 PC=C317 A=D3 X=00 Y=01 DF=6B E0=30 E1=03 | C317 DISPATCH RETURN | last_target=CCD4 dispatch=14
EV=021233 F=10285 I=250236566 C=306273752 PC=C726 A=4B X=97 Y=01 DF=6B E0=30 E1=03 | C726 QUEUE | ID=4B X=97 Y=01 caller=2B00 return=2B02 DF=6B E0=30
EV=021234 F=10285 I=250236580 C=306273803 PC=C2DA A=01 X=09 Y=01 DF=6B E0=30 E1=03 | C2DA ENTER | A=01 selector=1 S=FB dispatch=14
EV=021235 F=10285 I=250236616 C=306273919 PC=C300 A=33 X=FF Y=00 DF=6B E0=30 E1=03 | C300 INDIRECT DISPATCH | selector=1 tableptr=E633 target=E71D dispatch=14
EV=021236 F=10285 I=250236637 C=306273987 PC=C317 A=1C X=00 Y=01 DF=6B E0=30 E1=03 | C317 DISPATCH RETURN | last_target=E71D dispatch=14
EV=021237 F=10285 I=250236638 C=306273990 PC=E71D A=1C X=00 Y=01 DF=6B E0=30 E1=03 | E71D DF GATE | DF=6B DF&1=1
EV=021238 F=10285 I=250236829 C=306274591 PC=C726 A=1C X=18 Y=06 DF=6B E0=30 E1=03 | C726 QUEUE | ID=1C X=18 Y=06 caller=3D00 return=3D02 DF=6B E0=30
EV=021239 F=10285 I=250236943 C=306274981 PC=B24B A=01 X=8C Y=00 DF=6B E0=30 E1=03 | B24B RECORD FIELD DECREMENT | spawn=0
EV=021240 F=10285 I=250236943 C=306274981 PC=B24E A=01 X=8C Y=00 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R0 field+3 <= BE
EV=021241 F=10285 I=250236943 C=306274981 PC=B24E A=01 X=8C Y=00 DF=6B E0=30 E1=03 | RECORD WRITE | spawn=0 R0 field+3 <= BD
EV=021242 F=10285 I=250236951 C=306275003 PC=B24B A=01 X=90 Y=01 DF=6B E0=30 E1=03 | B24B RECORD FIELD DECREMENT | spawn=0
