FCEUX 2.6.6 - Trace Log File
A:55 X:11 Y:0F S:B5           $C1F1: B1 53     LDA ($53),Y @ $046F = #$55
A:55 X:11 Y:0F S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:11 Y:0F S:B5           $C1F6: C8        INY
A:55 X:11 Y:10 S:B5           $C1F7: CA        DEX
A:55 X:10 Y:10 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:10 Y:10 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0470 = #$55
A:55 X:10 Y:10 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:10 Y:10 S:B5           $C1F6: C8        INY
A:55 X:10 Y:11 S:B5           $C1F7: CA        DEX
A:55 X:0F Y:11 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:0F Y:11 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0471 = #$55
A:55 X:0F Y:11 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:0F Y:11 S:B5           $C1F6: C8        INY
A:55 X:0F Y:12 S:B5           $C1F7: CA        DEX
A:55 X:0E Y:12 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:0E Y:12 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0472 = #$55
A:55 X:0E Y:12 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:0E Y:12 S:B5           $C1F6: C8        INY
A:55 X:0E Y:13 S:B5           $C1F7: CA        DEX
A:55 X:0D Y:13 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:0D Y:13 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0473 = #$55
A:55 X:0D Y:13 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:0D Y:13 S:B5           $C1F6: C8        INY
A:55 X:0D Y:14 S:B5           $C1F7: CA        DEX
A:55 X:0C Y:14 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:0C Y:14 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0474 = #$55
A:55 X:0C Y:14 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:0C Y:14 S:B5           $C1F6: C8        INY
A:55 X:0C Y:15 S:B5           $C1F7: CA        DEX
A:55 X:0B Y:15 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:0B Y:15 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0475 = #$55
A:55 X:0B Y:15 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:0B Y:15 S:B5           $C1F6: C8        INY
A:55 X:0B Y:16 S:B5           $C1F7: CA        DEX
A:55 X:0A Y:16 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:0A Y:16 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0476 = #$55
A:55 X:0A Y:16 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:0A Y:16 S:B5           $C1F6: C8        INY
A:55 X:0A Y:17 S:B5           $C1F7: CA        DEX
A:55 X:09 Y:17 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:09 Y:17 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0477 = #$55
A:55 X:09 Y:17 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:09 Y:17 S:B5           $C1F6: C8        INY
A:55 X:09 Y:18 S:B5           $C1F7: CA        DEX
A:55 X:08 Y:18 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:08 Y:18 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0478 = #$F5
A:F5 X:08 Y:18 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:F5 X:08 Y:18 S:B5           $C1F6: C8        INY
A:F5 X:08 Y:19 S:B5           $C1F7: CA        DEX
A:F5 X:07 Y:19 S:B5           $C1F8: D0 F7     BNE $C1F1
A:F5 X:07 Y:19 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0479 = #$F5
A:F5 X:07 Y:19 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:F5 X:07 Y:19 S:B5           $C1F6: C8        INY
A:F5 X:07 Y:1A S:B5           $C1F7: CA        DEX
A:F5 X:06 Y:1A S:B5           $C1F8: D0 F7     BNE $C1F1
A:F5 X:06 Y:1A S:B5           $C1F1: B1 53     LDA ($53),Y @ $047A = #$F5
A:F5 X:06 Y:1A S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:F5 X:06 Y:1A S:B5           $C1F6: C8        INY
A:F5 X:06 Y:1B S:B5           $C1F7: CA        DEX
A:F5 X:05 Y:1B S:B5           $C1F8: D0 F7     BNE $C1F1
A:F5 X:05 Y:1B S:B5           $C1F1: B1 53     LDA ($53),Y @ $047B = #$F5
A:F5 X:05 Y:1B S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:F5 X:05 Y:1B S:B5           $C1F6: C8        INY
A:F5 X:05 Y:1C S:B5           $C1F7: CA        DEX
A:F5 X:04 Y:1C S:B5           $C1F8: D0 F7     BNE $C1F1
A:F5 X:04 Y:1C S:B5           $C1F1: B1 53     LDA ($53),Y @ $047C = #$F5
A:F5 X:04 Y:1C S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:F5 X:04 Y:1C S:B5           $C1F6: C8        INY
A:F5 X:04 Y:1D S:B5           $C1F7: CA        DEX
A:F5 X:03 Y:1D S:B5           $C1F8: D0 F7     BNE $C1F1
A:F5 X:03 Y:1D S:B5           $C1F1: B1 53     LDA ($53),Y @ $047D = #$F5
A:F5 X:03 Y:1D S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:F5 X:03 Y:1D S:B5           $C1F6: C8        INY
A:F5 X:03 Y:1E S:B5           $C1F7: CA        DEX
A:F5 X:02 Y:1E S:B5           $C1F8: D0 F7     BNE $C1F1
A:F5 X:02 Y:1E S:B5           $C1F1: B1 53     LDA ($53),Y @ $047E = #$F5
A:F5 X:02 Y:1E S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:F5 X:02 Y:1E S:B5           $C1F6: C8        INY
A:F5 X:02 Y:1F S:B5           $C1F7: CA        DEX
A:F5 X:01 Y:1F S:B5           $C1F8: D0 F7     BNE $C1F1
