============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v3
FCEUX Lua 5.1 compatible
============================================================
Started frame: 9969

DF/E0/E1 writes are logged directly.
E0 selector is NOT treated as sticky.
C726 caller is reconstructed from the 6502 stack.
C2DA indirect target is captured at C300.
AEEA construction events receive spawn serial numbers.
Spawn delta means frames between AEEA events.
============================================================
EV=000054 F=9973 I=247658835 C=296999785 PC=E01F A=F0 X=04 Y=40 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=40 0720=B0 0723=12
EV=000055 F=9973 I=247658845 C=296999812 PC=E01F A=F0 X=04 Y=44 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=44 0720=B0 0723=12
EV=000056 F=9973 I=247658855 C=296999839 PC=E01F A=F0 X=04 Y=48 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=48 0720=B0 0723=12
EV=000057 F=9973 I=247658865 C=296999866 PC=E01F A=F0 X=04 Y=4C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=4C 0720=B0 0723=12
EV=000058 F=9973 I=247658875 C=296999893 PC=E01F A=F0 X=04 Y=50 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=50 0720=B0 0723=12
EV=000059 F=9973 I=247658885 C=296999920 PC=E01F A=F0 X=04 Y=54 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=54 0720=B0 0723=12
EV=000060 F=9973 I=247658895 C=296999947 PC=E01F A=F0 X=04 Y=58 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=58 0720=B0 0723=12
EV=000061 F=9973 I=247658905 C=296999974 PC=E01F A=F0 X=04 Y=5C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=5C 0720=B0 0723=12
EV=000062 F=9973 I=247658915 C=297000001 PC=E01F A=F0 X=04 Y=60 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=60 0720=B0 0723=12
EV=000063 F=9973 I=247658925 C=297000028 PC=E01F A=F0 X=04 Y=64 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=64 0720=B0 0723=12
EV=000064 F=9973 I=247658935 C=297000055 PC=E01F A=F0 X=04 Y=68 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=68 0720=B0 0723=12
EV=000065 F=9973 I=247658945 C=297000082 PC=E01F A=F0 X=04 Y=6C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=6C 0720=B0 0723=12
EV=000066 F=9973 I=247658955 C=297000109 PC=E01F A=F0 X=04 Y=70 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=70 0720=B0 0723=12
EV=000067 F=9973 I=247658965 C=297000136 PC=E01F A=F0 X=04 Y=74 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=74 0720=B0 0723=12
EV=000068 F=9973 I=247658975 C=297000163 PC=E01F A=F0 X=04 Y=78 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=78 0720=B0 0723=12
EV=000069 F=9973 I=247658985 C=297000190 PC=E01F A=F0 X=04 Y=7C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=7C 0720=B0 0723=12
EV=000070 F=9973 I=247658995 C=297000217 PC=E01F A=F0 X=04 Y=80 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=80 0720=B0 0723=12
EV=000071 F=9973 I=247659005 C=297000244 PC=E01F A=F0 X=04 Y=84 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=84 0720=B0 0723=12
EV=000072 F=9973 I=247659015 C=297000271 PC=E01F A=F0 X=04 Y=88 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=88 0720=B0 0723=12
EV=000073 F=9973 I=247659025 C=297000298 PC=E01F A=F0 X=04 Y=8C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=8C 0720=B0 0723=12
EV=000074 F=9973 I=247659035 C=297000325 PC=E01F A=F0 X=04 Y=90 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=90 0720=B0 0723=12
EV=000075 F=9973 I=247659045 C=297000352 PC=E01F A=F0 X=04 Y=94 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=94 0720=B0 0723=12
EV=000076 F=9973 I=247659055 C=297000379 PC=E01F A=F0 X=04 Y=98 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=98 0720=B0 0723=12
EV=000077 F=9973 I=247659065 C=297000406 PC=E01F A=F0 X=04 Y=9C DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=9C 0720=B0 0723=12
EV=000078 F=9973 I=247659075 C=297000433 PC=E01F A=F0 X=04 Y=A0 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=A0 0720=B0 0723=12
EV=000079 F=9973 I=247659085 C=297000460 PC=E01F A=F0 X=04 Y=A4 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=A4 0720=B0 0723=12
EV=000080 F=9973 I=247659095 C=297000487 PC=E01F A=F0 X=04 Y=A8 DF=C5 E0=6A E1=D2 | E01F SPATIAL TEST | X=04 Y=A8 0720=B0 0723=12
