============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v4
FCEUX Lua 5.1 compatible
============================================================
B14F is the primary construction marker.
AEEA is NOT used as a spawn counter.
DF/E0/E1 writes are logged directly.
B14F caller is reconstructed from the 6502 stack.
C726 caller is reconstructed from the 6502 stack.
E660/C2DA state is kept separate from C726.
C300 records the actual indirect C2DA target.
B19D records final 8-record state.
============================================================
EV=000001 F=11275 I=258505607 C=335753620 PC=C535 A=00 X=80 Y=00 DF=D1 E0=34 E1=B7 | C535 RNG ROUTINE | DF=D1 E0=34 E1=B7
EV=000077 F=11275 I=258511200 C=335773036 PC=E01F A=F0 X=0C Y=70 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=70 0720=B0 0723=80
EV=000078 F=11275 I=258511210 C=335773063 PC=E01F A=F0 X=0C Y=74 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=74 0720=B0 0723=80
EV=000079 F=11275 I=258511220 C=335773090 PC=E01F A=F0 X=0C Y=78 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=78 0720=B0 0723=80
EV=000080 F=11275 I=258511230 C=335773117 PC=E01F A=F0 X=0C Y=7C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=7C 0720=B0 0723=80
EV=000081 F=11275 I=258511240 C=335773144 PC=E01F A=F0 X=0C Y=80 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=80 0720=B0 0723=80
EV=000082 F=11275 I=258511250 C=335773171 PC=E01F A=F0 X=0C Y=84 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=84 0720=B0 0723=80
EV=000083 F=11275 I=258511260 C=335773198 PC=E01F A=F0 X=0C Y=88 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=88 0720=B0 0723=80
EV=000084 F=11275 I=258511270 C=335773225 PC=E01F A=F0 X=0C Y=8C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=8C 0720=B0 0723=80
EV=000085 F=11275 I=258511280 C=335773252 PC=E01F A=F0 X=0C Y=90 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=90 0720=B0 0723=80
EV=000086 F=11275 I=258511290 C=335773279 PC=E01F A=F0 X=0C Y=94 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=94 0720=B0 0723=80
EV=000087 F=11275 I=258511300 C=335773306 PC=E01F A=F0 X=0C Y=98 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=98 0720=B0 0723=80
EV=000088 F=11275 I=258511310 C=335773333 PC=E01F A=F0 X=0C Y=9C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=9C 0720=B0 0723=80
EV=000089 F=11275 I=258511320 C=335773360 PC=E01F A=F0 X=0C Y=A0 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=A0 0720=B0 0723=80
EV=000090 F=11275 I=258511330 C=335773387 PC=E01F A=F0 X=0C Y=A4 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=A4 0720=B0 0723=80
EV=000091 F=11275 I=258511340 C=335773414 PC=E01F A=F0 X=0C Y=A8 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=A8 0720=B0 0723=80
EV=000092 F=11275 I=258511361 C=335773477 PC=E01F A=00 X=10 Y=00 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=00 0720=B0 0723=80
EV=000093 F=11275 I=258511371 C=335773504 PC=E01F A=F0 X=10 Y=04 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=04 0720=B0 0723=80
EV=000094 F=11275 I=258511381 C=335773531 PC=E01F A=F0 X=10 Y=08 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=08 0720=B0 0723=80
EV=000095 F=11275 I=258511391 C=335773558 PC=E01F A=F0 X=10 Y=0C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=0C 0720=B0 0723=80
EV=000096 F=11275 I=258511401 C=335773585 PC=E01F A=F0 X=10 Y=10 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=10 0720=B0 0723=80
EV=000097 F=11275 I=258511411 C=335773612 PC=E01F A=F0 X=10 Y=14 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=14 0720=B0 0723=80
EV=000098 F=11275 I=258511421 C=335773639 PC=E01F A=F0 X=10 Y=18 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=18 0720=B0 0723=80
EV=000099 F=11275 I=258511431 C=335773666 PC=E01F A=F0 X=10 Y=1C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=1C 0720=B0 0723=80
EV=000100 F=11275 I=258511450 C=335773717 PC=E01F A=C1 X=10 Y=20 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=20 0720=B0 0723=80
EV=000101 F=11275 I=258511460 C=335773744 PC=E01F A=F0 X=10 Y=24 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=24 0720=B0 0723=80
EV=000102 F=11275 I=258511470 C=335773771 PC=E01F A=F0 X=10 Y=28 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=28 0720=B0 0723=80
EV=000103 F=11275 I=258511480 C=335773798 PC=E01F A=F0 X=10 Y=2C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=2C 0720=B0 0723=80
EV=000104 F=11275 I=258511490 C=335773825 PC=E01F A=F0 X=10 Y=30 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=30 0720=B0 0723=80
EV=000105 F=11275 I=258511500 C=335773852 PC=E01F A=F0 X=10 Y=34 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=34 0720=B0 0723=80
EV=000106 F=11275 I=258511510 C=335773879 PC=E01F A=F0 X=10 Y=38 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=38 0720=B0 0723=80
EV=000107 F=11275 I=258511520 C=335773906 PC=E01F A=F0 X=10 Y=3C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=3C 0720=B0 0723=80
EV=000108 F=11275 I=258511530 C=335773933 PC=E01F A=F0 X=10 Y=40 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=40 0720=B0 0723=80
EV=000109 F=11275 I=258511540 C=335773960 PC=E01F A=F0 X=10 Y=44 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=44 0720=B0 0723=80
EV=000110 F=11275 I=258511550 C=335773987 PC=E01F A=F0 X=10 Y=48 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=10 Y=48 0720=B0 0723=80
