
============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v2
============================================================
Started frame: 11996

RNG variables:
  $DF = RNG byte used by several spawn gates
  $E0 = second RNG byte
  $E1 = RNG table/index state

Derived values:
  DF&01
  DF&03
  DF&07
  (E0>>4)&07

Candidate B258 counter:
  $042D -- meaning not yet established as spawn timer

============================================================
F=11997 PC=C535 A=00 X=80 Y=00 DF=86 E0=44 E1=7E | C535 RNG UPDATE      | DF=86 E0=44 E1=7E
F=12000 PC=E01F A=F0 X=04 Y=A4 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=A4 0720=B0 0723=88
F=12000 PC=E01F A=F0 X=04 Y=A8 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=04 Y=A8 0720=B0 0723=88
F=12000 PC=E01F A=00 X=0C Y=00 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=00 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=04 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=04 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=08 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=08 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=0C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=0C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=10 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=10 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=14 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=14 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=18 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=18 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=1C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=1C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=20 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=20 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=24 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=24 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=28 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=28 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=2C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=2C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=30 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=30 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=34 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=34 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=38 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=38 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=3C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=3C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=40 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=40 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=44 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=44 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=48 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=48 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=4C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=4C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=50 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=50 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=54 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=54 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=58 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=58 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=5C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=5C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=60 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=60 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=64 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=64 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=68 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=68 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=6C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=6C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=70 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=70 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=74 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=74 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=78 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=78 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=7C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=7C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=80 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=80 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=84 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=84 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=88 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=88 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=8C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=8C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=90 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=90 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=94 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=94 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=98 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=98 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=9C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=9C 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=A0 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=A0 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=A4 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=A4 0720=B8 0723=88
F=12000 PC=E01F A=F0 X=0C Y=A8 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=0C Y=A8 0720=B8 0723=88
F=12000 PC=E01F A=00 X=10 Y=00 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=00 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=04 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=04 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=08 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=08 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=0C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=0C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=10 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=10 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=14 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=14 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=18 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=18 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=1C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=1C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=20 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=20 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=24 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=24 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=28 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=28 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=2C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=2C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=30 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=30 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=34 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=34 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=38 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=38 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=3C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=3C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=40 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=40 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=44 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=44 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=48 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=48 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=4C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=4C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=50 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=50 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=54 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=54 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=58 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=58 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=5C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=5C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=60 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=60 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=64 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=64 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=68 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=68 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=6C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=6C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=70 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=70 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=74 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=74 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=78 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=78 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=7C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=7C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=80 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=80 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=84 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=84 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=88 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=88 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=8C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=8C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=90 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=90 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=94 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=94 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=98 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=98 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=9C DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=9C 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=A0 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=A0 0720=C0 0723=80
F=12000 PC=E01F A=F0 X=10 Y=A4 DF=3C E0=D9 E1=82 | E01F SPATIAL TEST    | X=10 Y=A4 0720=C0 0723=80
