type,frame,pc,input,DF,E0,E1,DF_bit0,DF_low2,DF_low3,E0_shift4_low3,rng_calls,rng_gap,max_rng_gap,0428,042D,048B,queue_slot,queue_addr,queue_value,c726_total,b14f_total,b14f_snapshot
RNG,1265,C535,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,C535,,,25,0,
FRAME,1265,C74C,-,61,AB,C3,1,1,1,2,1,1,1,00,00,00,,,,,25,0,
RNG,1266,C535,-,61,AB,C3,1,1,1,2,1,1,1,00,00,00,C535,,,25,0,
FRAME,1266,C74C,-,41,3B,C4,1,1,1,3,1,1,1,00,00,00,,,,,25,0,
RNG,1267,C535,-,41,3B,C4,1,1,1,3,1,1,1,00,00,00,C535,,,25,0,
FRAME,1267,C74E,-,32,59,C5,0,2,2,5,1,1,1,00,00,00,,,,,25,0,
RNG,1268,C535,-,32,59,C5,0,2,2,5,1,1,1,00,00,00,C535,,,25,0,
C726,1268,C726,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,C726,,,26,0,
C726,1268,C726,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,C726,,,27,0,
C726,1268,C726,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,C726,,,28,0,
C726,1268,C726,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,C726,,,29,0,
C726,1268,C726,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,C726,,,30,0,
C726,1268,C726,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,C726,,,31,0,
C726,1268,C726,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,C726,,,32,0,
OBJECT,1268,C74C,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,46,$022E,26,32,0,
OBJECT,1268,C74C,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,47,$022F,5E,32,0,
OBJECT,1268,C74C,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,48,$0230,01,32,0,
OBJECT,1268,C74C,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,49,$0231,4B,32,0,
OBJECT,1268,C74C,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,50,$0232,48,32,0,
OBJECT,1268,C74C,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,51,$0233,46,32,0,
OBJECT,1268,C74C,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,52,$0234,09,32,0,
FRAME,1268,C74C,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,,,,,32,0,
RNG,1269,C535,-,22,FB,C6,0,2,2,7,1,1,1,00,00,00,C535,,,32,0,
FRAME,1269,C74C,-,F4,C3,C7,0,0,4,4,1,1,1,00,00,00,,,,,32,0,
RNG,1270,C535,-,F4,C3,C7,0,0,4,4,1,1,1,00,00,00,C535,,,32,0,
FRAME,1270,C74C,-,C7,63,C8,1,3,7,6,1,1,1,00,00,00,,,,,32,0,
RNG,1271,C535,-,C7,63,C8,1,3,7,6,1,1,1,00,00,00,C535,,,32,0,
FRAME,1271,C74C,-,A9,69,C9,1,1,1,6,1,1,1,00,00,00,,,,,32,0,
RNG,1272,C535,-,A9,69,C9,1,1,1,6,1,1,1,00,00,00,C535,,,32,0,
C726,1272,C726,-,8C,89,CA,0,0,4,0,1,1,1,00,00,00,C726,,,33,0,
C726,1272,C726,-,8C,89,CA,0,0,4,0,1,1,1,00,00,00,C726,,,34,0,
C726,1272,C726,-,8C,89,CA,0,0,4,0,1,1,1,00,00,00,C726,,,35,0,
OBJECT,1272,D0DC,-,8C,89,CA,0,0,4,0,1,1,1,00,00,00,53,$0235,26,35,0,
OBJECT,1272,D0DC,-,8C,89,CA,0,0,4,0,1,1,1,00,00,00,54,$0236,5E,35,0,
OBJECT,1272,D0DC,-,8C,89,CA,0,0,4,0,1,1,1,00,00,00,55,$0237,01,35,0,
FRAME,1272,D0DC,-,8C,89,CA,0,0,4,0,1,1,1,00,00,00,,,,,35,0,
RNG,1273,C535,-,8C,89,CA,0,0,4,0,1,1,1,00,00,00,C535,,,35,0,
C726,1273,C726,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,C726,,,36,0,
C726,1273,C726,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,C726,,,37,0,
C726,1273,C726,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,C726,,,38,0,
C726,1273,C726,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,C726,,,39,0,
OBJECT,1273,C74A,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,56,$0238,4B,39,0,
OBJECT,1273,C74A,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,57,$0239,48,39,0,
OBJECT,1273,C74A,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,58,$023A,46,39,0,
OBJECT,1273,C74A,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,59,$023B,09,39,0,
FRAME,1273,C74A,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,,,,,39,0,
RNG,1274,C535,-,7E,2A,CB,0,2,6,2,1,1,1,00,00,00,C535,,,39,0,
FRAME,1274,C74C,-,71,F0,CC,1,1,1,7,1,1,1,00,00,00,,,,,39,0,
RNG,1275,C535,-,71,F0,CC,1,1,1,7,1,1,1,00,00,00,C535,,,39,0,
FRAME,1275,C74C,-,6F,99,CD,1,3,7,1,1,1,1,00,00,00,,,,,39,0,
RNG,1276,C535,-,6F,99,CD,1,3,7,1,1,1,1,00,00,00,C535,,,39,0,
C726,1276,C726,-,43,99,CE,1,3,3,1,1,1,1,00,00,00,C726,,,40,0,
C726,1276,C726,-,43,99,CE,1,3,3,1,1,1,1,00,00,00,C726,,,41,0,
C726,1276,C726,-,43,99,CE,1,3,3,1,1,1,1,00,00,00,C726,,,42,0,
OBJECT,1276,D002,-,43,99,CE,1,3,3,1,1,1,1,00,00,00,60,$023C,26,42,0,
OBJECT,1276,D002,-,43,99,CE,1,3,3,1,1,1,1,00,00,00,61,$023D,5E,42,0,
OBJECT,1276,D002,-,43,99,CE,1,3,3,1,1,1,1,00,00,00,62,$023E,01,42,0,
FRAME,1276,D002,-,43,99,CE,1,3,3,1,1,1,1,00,00,00,,,,,42,0,
RNG,1277,C535,-,43,99,CE,1,3,3,1,1,1,1,00,00,00,C535,,,42,0,
C726,1277,C726,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,C726,,,43,0,
C726,1277,C726,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,C726,,,44,0,
C726,1277,C726,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,C726,,,45,0,
C726,1277,C726,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,C726,,,46,0,
OBJECT,1277,C74E,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,0,$0200,48,46,0,
OBJECT,1277,C74E,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,1,$0201,46,46,0,
OBJECT,1277,C74E,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,2,$0202,09,46,0,
OBJECT,1277,C74E,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,63,$023F,4B,46,0,
FRAME,1277,C74E,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,,,,,46,0,
RNG,1278,C535,-,41,26,CF,1,1,1,2,1,1,1,00,00,00,C535,,,46,0,
FRAME,1278,C74C,-,25,19,D0,1,1,5,1,1,1,1,00,00,00,,,,,46,0,
RNG,1279,C535,-,25,19,D0,1,1,5,1,1,1,1,00,00,00,C535,,,46,0,
FRAME,1279,C74C,-,23,1C,D1,1,3,3,1,1,1,1,00,00,00,,,,,46,0,
RNG,1280,C535,-,23,1C,D1,1,3,3,1,1,1,1,00,00,00,C535,,,46,0,
C726,1280,C726,-,17,68,D2,1,3,7,6,1,1,1,00,00,00,C726,,,47,0,
OBJECT,1280,E05D,-,17,68,D2,1,3,7,6,1,1,1,00,00,00,3,$0203,26,47,0,
FRAME,1280,E05D,-,17,68,D2,1,3,7,6,1,1,1,00,00,00,,,,,47,0,
RNG,1281,C535,-,17,68,D2,1,3,7,6,1,1,1,00,00,00,C535,,,47,0,
C726,1281,C726,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,C726,,,48,0,
C726,1281,C726,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,C726,,,49,0,
C726,1281,C726,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,C726,,,50,0,
C726,1281,C726,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,C726,,,51,0,
C726,1281,C726,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,C726,,,52,0,
C726,1281,C726,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,C726,,,53,0,
OBJECT,1281,C74E,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,4,$0204,5E,53,0,
OBJECT,1281,C74E,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,5,$0205,01,53,0,
OBJECT,1281,C74E,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,6,$0206,4B,53,0,
OBJECT,1281,C74E,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,7,$0207,48,53,0,
OBJECT,1281,C74E,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,8,$0208,46,53,0,
OBJECT,1281,C74E,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,9,$0209,09,53,0,
FRAME,1281,C74E,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,,,,,53,0,
RNG,1282,C535,-,15,40,D3,1,1,5,4,1,1,1,00,00,00,C535,,,53,0,
FRAME,1282,C74E,-,EA,D5,D4,0,2,2,5,1,1,1,00,00,00,,,,,53,0,
RNG,1283,C535,-,EA,D5,D4,0,2,2,5,1,1,1,00,00,00,C535,,,53,0,
FRAME,1283,C74A,-,E8,77,D5,0,0,0,7,1,1,1,00,00,00,,,,,53,0,
RNG,1284,C535,-,E8,77,D5,0,0,0,7,1,1,1,00,00,00,C535,,,53,0,
