FCEUX 2.5.0 - Trace Log File
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D1B4: 20 38 D6  JSR $D638
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZC             $07:D638: AD 02 20  LDA $2002 = #$50
f1591   A:50 X:08 Y:90 S:F3 P:nvUbdIzC             $07:D63B: A5 23     LDA $23 = #$90
f1591   A:90 X:08 Y:90 S:F3 P:NvUbdIzC             $07:D63D: 29 FC     AND #$FC
f1591   A:90 X:08 Y:90 S:F3 P:NvUbdIzC             $07:D63F: 85 23     STA $23 = #$90
f1591   A:90 X:08 Y:90 S:F3 P:NvUbdIzC             $07:D641: 8D 00 20  STA $2000 = #$90
f1591   A:90 X:08 Y:90 S:F3 P:NvUbdIzC             $07:D644: A9 00     LDA #$00
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZC             $07:D646: 8D 05 20  STA $2005 = #$02
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZC             $07:D649: 4C 72 D6  JMP $D672
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZC             $07:D672: AD 8B 04  LDA $048B = #$00
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZC             $07:D675: C9 02     CMP #$02
f1591   A:00 X:08 Y:90 S:F3 P:NvUbdIzc             $07:D677: B0 06     BCS $D67F
f1591   A:00 X:08 Y:90 S:F3 P:NvUbdIzc             $07:D679: A9 00     LDA #$00
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZc             $07:D67B: 8D 05 20  STA $2005 = #$00
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZc             $07:D67E: 60        RTS (from $D638) ----------------------------
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZc           $07:D1B7: 20 4C D6  JSR $D64C
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZc             $07:D64C: A5 AB     LDA $AB = #$01
f1591   A:01 X:08 Y:90 S:F3 P:nvUbdIzc             $07:D64E: D0 01     BNE $D651
f1591   A:01 X:08 Y:90 S:F3 P:nvUbdIzc             $07:D651: AD 02 20  LDA $2002 = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nvUbdIzc             $07:D654: 2C DE FF  BIT $FFDE = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D657: D0 F8     BNE $D651
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D651: AD 02 20  LDA $2002 = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D654: 2C DE FF  BIT $FFDE = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D657: D0 F8     BNE $D651
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D651: AD 02 20  LDA $2002 = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D654: 2C DE FF  BIT $FFDE = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D657: D0 F8     BNE $D651
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D651: AD 02 20  LDA $2002 = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D654: 2C DE FF  BIT $FFDE = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D657: D0 F8     BNE $D651
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D651: AD 02 20  LDA $2002 = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D654: 2C DE FF  BIT $FFDE = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D657: D0 F8     BNE $D651
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D651: AD 02 20  LDA $2002 = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D654: 2C DE FF  BIT $FFDE = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D657: D0 F8     BNE $D651
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D651: AD 02 20  LDA $2002 = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D654: 2C DE FF  BIT $FFDE = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D657: D0 F8     BNE $D651
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D651: AD 02 20  LDA $2002 = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D654: 2C DE FF  BIT $FFDE = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D657: D0 F8     BNE $D651
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D651: AD 02 20  LDA $2002 = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D654: 2C DE FF  BIT $FFDE = #$40
f1591   A:40 X:08 Y:90 S:F3 P:nVUbdIzc             $07:D657: D0 F8     BNE $D651
